text (S),location (S),phase (S),sentiment (S)
respected hrd union minister shri drrpnishank ji plz wave charges except tution fee kvntpcbadarpur lockdown period bcz majority students belongs poor families kv sangathan nt giving relaxation time crisis kvs hq kvsedu sanjaydhotrempkvntpcbadarpur,delhi,2,NEUTRAL
respected sir ktrtrs ktroffice mother severely sick tumour even single doctor responding sir every doctor asking us come corona surgery neither gajwel govt hospital private hospitals taking cure mom,hyderabad,1,NEUTRAL
sanatize corona photopalshyd bizarrehyderabad hindustanlive hyderabadlive photographers india storiesofindia indiaphoto soi soihyd streetphotographyindia indiapictures mypixeldiary moodygrams… https www instagram com p calgvcapjd0 igshid wvzf6gnsfnqgphotopalshyd bizarrehyderabad hindustanlive hyderabadlive photographers india storiesofindia indiaphoto soi soihyd streetphotographyindia indiapictures mypixeldiary moodygrams,hyderabad,1,NEUTRAL
saying lockdown lockdown stay home either give food let die hum ehapey 10 admi hai family hum logoko abitak kuchh nahi mila hum west bengal ka dist coochbehar momota didi ka pass request hum kee liya kuchh koro 9740905962lockdown,bangalore,1,NEUTRAL
secunderabad stagnant drain turns health hazard uppal residents hyderabad news opposition political parties need concerned mlas municipal corporation offices solve drlaxmanbjp nvssprabhakarm iyctelangana bjp4telangana backhand index pointing rightsecunderabad hyderabad,hyderabad,0,NEUTRAL
simply showman wants manage headlines show world great job combating covd19 area safety well people priority government presume,hyderabad,0,NEUTRAL
sir understand actually trying go home 14th april bike time didnt get curfew pass situation different many students coming states one stuck west bengal amp want return police allowing 1,kolkata,1,NEGATIVE
size problem huge mental health problems dicussed freely schools colleges depression de stigmatised earliest open forums,delhi,1,NEGATIVE
social butterfly hardly use social media life happened woman shrugging selector,kolkata,0,NEUTRAL
social media friend sent devendratak rashmibansal picture kashmir received book wearethechampion evening amazon feeling good see book traveling smiling face halokashmir wearethechampion amazon,hyderabad,0,NEUTRAL
sorry good lockdown social distancing months tryna help poor needy around us time everythings gon na fine come nature itll returning prayers hopes raising hands hundred points folded hands light skin tone prayersforcoronafreeworldprayersforcoronafreeworld,mumbai,1,NEUTRAL
start washing hands properly wear medical mask outside avoid unnecessary travel virus reported around city,mumbai,0,NEUTRAL
th fact matter tht vaccin wil ever b made available2neutralise virus least immediatly said much hope tht virus wil burn completion cycle humans immunity wld mutate naturaly2creat anti bodies,hyderabad,1,NEUTRAL
thats check igyaan new review lockdown igyaan complete pack information educative content knowledge minds think theyve following channel lot this… https www instagram com p b ksxfugrbf igshid 1dsb0zo22se8b – rta office tirumalgiri,hyderabad,1,NEUTRAL
thats enough makeup hide mask real energy behind trick trance mission visual version oncoming fist folded hands cowboy hat face om selector skull alien face tears joy grinning face sweat winking face tongue use headphones headphones fr best chords tamil nadu https www instagram com p b8a3aund9gs igshid 1vhhn1yjcyss3use,chennai,0,NEUTRAL
training hire program mncs hello everyone greetings digihub technologies providing 100 job assurance training amp hire program ibm mainframes amp devops graduate post graduate package min 5 7lakh per annum please contact brahmi 9676167962,hyderabad,0,NEUTRAL
trident emblem divine guidance card day – health trident emblem folded hands made divine guidance cards decks research 20 years tried tested thousands need visit psychic reader deck researched… https www instagram com p b9hnh6njbkc igshid duryu8elki0u,mumbai,0,NEUTRAL
tsspdclcorporat inform past 2 months facing power voltage ups amp downs sudden fall voltage resulting loss electronics goods amp home appliances even voltage low amp slow mailardevpally kings colony phase 2 shastripuram asadowaisi,hyderabad,1,NEGATIVE
unlock 3 0 whats new 1 gyms allowed open 2 night curfew anymore 3 school colleges remain closed unlock3 covid 19unlock unlock3 covid 19,delhi,2,NEUTRAL
us contribute towards beat virus initiative bondh boondh droplet droplet droplet droplet se sagar banta hain water wave water wave water wave folded hands folded hands folded handsbeat,hyderabad,1,NEUTRAL
use hashtags without hashtags people find post use hashtags related health like health body skinhealth body skin,mumbai,1,NEUTRAL
virus people go chinese go,delhi,1,NEGATIVE
warm gesture migrants workers zeeshan iyc bhai youre wonderful job pandemic outbreak covid 19 may almighty reward kindnesscovid,mumbai,1,MIXED
way save bangalore stop migrants states solve 50 problems,bangalore,0,NEUTRAL
womanhood matter public discussion social media woman attack woman privacy treated criminal act dealt local law order enforcing agency glorifying issues social media bad,bangalore,0,NEUTRAL
wondering enthusiastic people started lockdown period cooking dancing singing sharing stuff social media suddenly vanished videos nothing share social media thinking face lockdownlockdown,mumbai,1,NEUTRAL
wow wonderful job dear roopa may god gives lots ideas design many dresses like happy roopa ’ called women empowerment feel proud,hyderabad,2,POSITIVE
yesbank result declared december 2019 quarter bank declared ₹18564 20 crore loss capital adequacy ratio 4 2 end december 2019 16 30 end september 2019 quarteryesbank,mumbai,0,NEUTRAL
गज़ब haryana haryanvis one like camel corona days covid changing business approach customer satisfaction key business management survival skills covidlessonscovid covidlessons,delhi,1,NEUTRAL
‘ get coronavirus ’ kcr ‘ curses ’ media outlets ‘ negative ’ report news minute,hyderabad,1,NEGATIVE
’ time start thinking small things protect hair follow today ’ protip maintain hair health right way lorealprofindia wavelengthsalon kankurgachi salon … https www instagram com p b krlnol1jk igshid kso0ynu6uopnprotip lorealprofindia wavelengthsalon kankurgachi salon,kolkata,1,NEUTRAL
’ want money given pm cares fund utilised help people defied pm request complete lockdown,hyderabad,1,NEUTRAL
100 figure easily missing zero minimum institutions arent declaring real numbers people arent going get tested people going uncles pharmacy eating saridon dolo mask symptoms,chennai,0,NEGATIVE
1yearofmodi2 aatma nirbhar bharat aimed towards addressing real issues – rozi roti aur makaan – faced labour migrants poor india find article https bit ly 2xlrnmo via namo app1yearofmodi2,hyderabad,1,NEUTRAL
air drop notes coins corona virus leave humans collect live happily ever,kolkata,0,NEUTRAL
already plasma therepy found b dangerous cure option goi issued instructions stop line treatment till approved icmr,hyderabad,1,NEGATIVE
amazing example personalized candidate outreach using candidates social activity indeed india sourcingadda tasummittasummit,hyderabad,0,POSITIVE
amit sir kaise hai wish ur good health,kolkata,2,POSITIVE
ancestors excellent intelligent ppl globe folded hands west says nohandshakes amp nocheektouches always namaste नमस्ते folded hands folded hands amp keep healthy covid19nohandshakes nocheektouches namaste covid19,bangalore,0,NEUTRAL
andaman police chief warns social media misuse force recently arrested journalist twitter post,delhi,1,NEUTRAL
another virus sending team china bed time horror stories,delhi,1,NEGATIVE
authackeray cmomaharashtra defeat corona virus,mumbai,1,NEUTRAL
back corona thoraipakkam india https www instagram com p cdn229wgr3spf6mqtttt6wsbwywole z8fj je0 igshid uxd4ln00tyxgcorona,chennai,2,NEUTRAL
beautiful lines sir ji awesome tribute doctors health workers nurses whole medical professionals shahenshah indian cinema salute health workers tireless service round clock unprecedented crises folded hands folded hands folded handsshahenshah,kolkata,2,POSITIVE
behalf new bolarum area public express sincere thanks government allotting contonment general hospital inially corona testing centre hope facilities provided patient treatment,hyderabad,2,NEUTRAL
belive health department hospital need get truth,chennai,1,NEUTRAL
bjp pm r wholly solely responsible covid migrant mess uts office handled covid 19 admirably inspote constraints dharavi handling praised even,mumbai,2,MIXED
come make sit person like razak job less state karnataka prime time ninnavvan vadrassackpilotvadrassackpilot,bangalore,2,NEUTRAL
condolences loss never go away aum shanti,bangalore,1,NEUTRAL
cong opp aimim propakistan jehadi tukregangs lutyens biased antimodi media created false sense fear insecurity amongmuslims caawhich resulted shahinbagh dharna jamiaamujnu violence finallynortheastdelhi riots coincidingus president visit loss life amp property shame,delhi,0,NEGATIVE
congratulations wuhan evacuation flights pm modi appreciates air india health ministry officials https timesofindia indiatimes com business india business wuhan evacuation flights pm modi appreciates air india health ministry officials articleshow 74121640 cms via namo app,bangalore,0,POSITIVE
corona update sadahaqnews corona saaddahaqnews sadahaq covid 19 saaddahaq indianmedia india lockdown orangezone greenzone redzone coronaupdates usa un unitedstates aatmanirbharbharat jksoniiassadahaqnews corona saaddahaqnews sadahaq covid 19 saaddahaq indianmedia india lockdown orangezone greenzone redzone coronaupdates usa un unitedstates aatmanirbharbharat,delhi,1,NEUTRAL
country sold minority people came canal called canal constitutional law burned “ curfew time highest priority exploit eradicate ignorant people,bangalore,1,NEGATIVE
covid19 coronavirus 2019ncov 44 754 cases 1 112 death 4 413 recoveredcoronavirus 2019ncov,bangalore,0,NEUTRAL
dchautala resp sir premises running without fire noc 1 mahadev hospital opp lotus hospital kindly ensure safety patients residents 2 lubricants wholesalers opp ganga apartments mata road gurugram regards rajeev yadav 919811242471,delhi,0,NEUTRAL
dear sonu soodji bimal patra resident west bengal unemployed living chennai family two sons lost job due corona epidemic please something us hopping help,chennai,2,NEGATIVE
delhielections2020 protect coronavirus wearing n95 mask whenever go buy call 9000539552 hyderabad thnewdelhi delhitimestweet toidelhi telanganatoday hindu weatherindia weatherchannel coronavirusinfo – jubilee hills rd 10delhielections2020,hyderabad,0,NEUTRAL
demographic death message corona virus gone well within muslim community indeed pernicious role religious rhetoric questioned,delhi,1,NEGATIVE
depression related chemistry brain alone primarily gut hence gut health well important new data science validated facts serotonin also produced gut carefully gut,hyderabad,1,MIXED
education guarantee sense case point person facepalming taken strict action warning little dealing pandemic covid19covid19,chennai,0,NEUTRAL
everything happened within police limits action taken issue got public media attention especially social media actual reasons killing revealed many questions palgharmoblynching palgharlynchingtruth palgharinvestigationpalgharmoblynching palgharlynchingtruth palgharinvestigation,hyderabad,1,NEGATIVE
extremely sad sudden demise eminent legendary anatomy prof asim kr dutta news shared sowrit sinha may soul rest peace heartfelt condolences bereaved family members may god give enough strength withstand tragic loss ॐ shanti shanti,kolkata,1,NEGATIVE
first cried day knew overcame loss father fought sorts difficulties moved first day felt proud day proud mallikahits400kmallikahits400k,kolkata,1,MIXED
german state finance minister kills coronavirus hits economy ndtv,kolkata,1,NEUTRAL
good job didi,kolkata,1,POSITIVE
govindethiraj apparently 200 odd ventilators registered hospitals thought would way another report stated 2 per million people coronavirusupdatescoronavirusupdates,delhi,0,NEUTRAL
great intiative supreme court bar association us free health check supreme court india https www instagram com p b8j1qfdn7vf igshid 15o3vax0i5hgl,delhi,0,POSITIVE
great job done deputy commissioner bbmp recovered crores rupees manthri mahal authoritys say thanks deputy commissioner,bangalore,0,POSITIVE
grofers 95 cart filled non essential rule added later products able use 89₹ next time stop fooling people name cash backs follow business ethics lockdown also able use orange cash cheaters,mumbai,2,NEUTRAL
hasnt nice seem know defeated kings 2 accept kul devata victor repeated gory battles shivites vaishnavites leave alone inhuman treatment untouchables learn history make amends avenge lead nowhere,kolkata,0,NEGATIVE
hello osuae1 please reach fakir kapei 00971554099389 stranded sarjah welder frm beramhpur one reach mistakenly declared covid19 patient talking n encouraging plz seek comeback cmo odisha,mumbai,1,NEUTRAL
hmm meaning life changed novel corona virus,delhi,2,NEUTRAL
http loss banks esp avenue big lending,chennai,0,NEUTRAL
idiots dont anything bothered safety society theyre bought society theyer discipline decency know critise cbn tdp get ₹5 theyer job,bangalore,2,NEGATIVE
ignored kashmir locked since decades ignored kashmiri blockade past 7 months ignored kashmiri cant walk freely land see karma world going locked curfew amp everyone concerns lives still kashmiris freekashmirfreekashmir,delhi,0,NEGATIVE
india performing quite well recovery rate 50pc death rate 2 virus loosing virulence india best compared eu us nomoretotallockdownnomoretotallockdown,kolkata,1,NEUTRAL
india plenty useful resources help rahulgandhi better understand coronavirus pandemic protect give statement unlike manohar parikar got exposed changes made rafaels deal un pad indian history,hyderabad,2,NEUTRAL
isme economists ki kya zarurat hai covid19 real reasoncovid19,mumbai,0,NEUTRAL
israel solution coronavirus clapping hands clapping hands clapping hands,hyderabad,0,NEUTRAL
krithikasivasw brahmin couple 20 years cooking experience ashrams veda patasala seeks placement ready relocate place present bangalore decent salary good treatment required contaçt 9379160731 9590490824,chennai,0,NEUTRAL
ktrtrs asadowaisi ajan required masjids closed loudspeakers pin drop silence due curfew without sound pollution good air quality purpose serves never object azan normal days muslim answer,hyderabad,1,NEUTRAL
ktrtrs sir pls help 120 migrant families west bengal bihar stuck lingojiguda slum near saroonagar lake starving badly need food items points contact ms meenakshi vijaywargi 9959996677 mrs susheela old lingojiguda saroornagar 6281605255,hyderabad,1,NEUTRAL
lost relatives corona economic condition family poor present please help sir,kolkata,2,NEGATIVE
maharashtra logs 1 3rd india ’ total covid19 casesmaharashtra india covid19,chennai,1,NEUTRAL
main opponent trump modi collateral issue whoever receives trump get treatment someone snubs trump hailed,chennai,0,NEGATIVE
mask just1doctorwala pythoroshan,bangalore,1,NEUTRAL
mask social distancing coronavirusindiacoronavirusindia,mumbai,1,NEUTRAL
meme game gone quite india quarantine thinking face covid2019india quarantine lockdowncovid2019india quarantine lockdown,kolkata,1,NEGATIVE
migrants workers reached states safe houses seeing kith kin small dot virus create panic,chennai,2,NEUTRAL
naive phones tapped follow every comment social media fact hired people follow must noticed also think correct tag,hyderabad,1,NEUTRAL
narendramodi bsybjp cmomaharashtra gocoronago sir plz order complete lockdown country state next 15days immediate effect period u arrange beds facilities even private hospitals avoid less community spread indiafightscoronagocoronago indiafightscorona,hyderabad,1,NEUTRAL
necessary substitute qurbani islam financially sound perform qurbani indian muslims sincerely followed covid19 guidelines government must come sop allow muslims perform religious obligations bakrid2020qurbani bakrid2020,mumbai,2,NEUTRAL
oil unit everybody post oil benefits car bike cycle dollar every oil unit business job cocking rs 15 500thousand bank account ac number tillion billion million core lack bank sttuf jast 1 lack take oil unit everybody,kolkata,0,NEUTRAL
otherwise sir dm cell ’ give numbers anyways surgeon already headcap full sleeve gown get shield good mask eye protection set,mumbai,1,NEUTRAL
passing observation chiefjustice bombayhc said westbengal govt changing position issue migrants time time somehow mamataofficial govt mismanaged issue though want comment anyone fpjindiachiefjustice bombayhc westbengal migrants,mumbai,2,NEGATIVE
people also understand follow social distancing stayhomestaysafe thanksocial distancing stayhomestaysafe,hyderabad,1,NEUTRAL
please help indianpatriota delivering mask amp gear 3d printed redfmindia redfm mumbai,mumbai,1,NEUTRAL
purpose lockdown particular days knows days corona virus active days sleeps grinning face big eyes grinning face big eyes grinning face big eyes grinning face big eyes grinning face big eyes grinning face big eyes grinning face big eyes grinning face big eyes,bangalore,2,NEUTRAL
railminindia witnesses spike cases 8 test covid19 positive rail bhawan delhi 43 others self isolate indiafightscoronacovid19 indiafightscorona,kolkata,2,NEUTRAL
red heart love best emotion cosmos greatest strength everyone lets spread love around red heart happy red heart valentines red heart day red heart dears red heart may god bless loved ones sufficient health wealth and… https www instagram com p b8ighmshs9p igshid 182p5tk6s7but,chennai,0,POSITIVE
reliancejio mailed payment detail mobile 9830034614 ported airtell please tell line start son study singapore corona effected country request please start line urgently,kolkata,0,NEUTRAL
removing english make future generations disconnected west innovation n research happens even job opportunities english must fact encourage students learn 2 3 foreign languages,bangalore,2,MIXED
rightly said ’ whether ’ clinical emotional problem us need ‘ love n care ’ ’ time connect thru social media pure hearts n golden words folded hands,hyderabad,1,POSITIVE
robber looted bank 1 crore smart bank manager mismatch used opportunity fudge numbers next day news headline bank robbed 10 crores robber coronavirus manager market mismatch built excesses,kolkata,0,NEUTRAL
saudi arabia enforcing curfew eid stop gathering indian muslim learn saudi,bangalore,1,NEUTRAL
scary covid19covid19,delhi,2,NEGATIVE
serious note think got stop judgemental asshole twitter agreement disagreement better anyone else internet take free advice shut enough social service day good luck kid,mumbai,0,MIXED
sickness calls trip hospital tomorrow cant breathe loudly crying face,mumbai,0,NEGATIVE
simple maths give u people hospitalized treatment recovered,mumbai,1,NEUTRAL
sorry loss hope better place ’ takes big person recognise made mistake even bigger person admit social media,delhi,2,NEGATIVE
started despite informed hundred times caa going affect indian follows islam caa deport illegal migrants entered recently bangladesh crores nd burma indian muslims find fathers among sorry,delhi,0,NEGATIVE
sujaya roy new delhi requesting muslim hindu people specially west bengal atteched social media please stop insulting prime minister sree narendra modi amp cabinet delhi election modi ji man bjp,delhi,0,NEUTRAL
support lockdown safety total mess near pacific mall ghaziabad day yesterday god bless gocoronacoronagogocoronacoronago,mumbai,1,NEUTRAL
surya narayana homam corona virus removal world wide observation sri sri swamy venkatesh ji sri bhuwaneswari matha shakthi petam maha three meru sreechakra temple madanapalle one temple universe sunday 26th monday 27th,bangalore,1,NEUTRAL
tamilnadu malesiya return oldman quarantine vit college district authority care quarantine people negligence authority dead health condition good disease,chennai,1,NEGATIVE
tensions rise wuhan lockdown enters second month http www crimeandmoreworld com tensions rise wuhan lockdown enters second month,kolkata,0,NEUTRAL
thanks clarification think consumer bengalurukhasa1 loss apartments sending petitions arvindlbjp suggest also proactively meet hon mla amp settle issue current environment dont need water crisis summer kids home – looks,bangalore,0,NEUTRAL
thanks sharing proud government prompt action health officials unflinching commitment towards duties hope virus doesnt cause wide spread loss lives lets pray health amp safety people world folded hands,bangalore,0,POSITIVE
thats serious problem bengal someone wants reach bengal near bangla desh myanmar please provide details necessary arrangements made advise contact mea social media indian embassy,delhi,1,NEUTRAL
thread practically sums indian film industry mental health awareness important,mumbai,1,NEUTRAL
time world needs huge positive energy fight negative forces go center inner begin generate positive energy welfare humanity coronavirus peace corona digitalart digitalmarketing illustrationsketch mandalacoronavirus peace corona digitalart digitalmarketing illustrationsketch mandala,delhi,1,NEUTRAL
total curfew 21 days,kolkata,1,NEUTRAL
truth curfew minorities delhiriots delhiisburningdelhiriots delhiisburning,mumbai,0,NEUTRAL
two months since left college literally everything room kept thinking ill back batch unwashed laundry waiting come job also packet wai wai going dinner night,mumbai,1,NEGATIVE
ultimate boss amit shah otherwise bjp work topple elected govt create mess even crisis hour saw mp recent example politics first coronavirus later,kolkata,1,NEUTRAL
unlock3 go released night curfew gym amp yoga classes start aug 5thunlock3,chennai,2,NEUTRAL
watching cute animal videos internet thing keeping insanity together pandemic sundaythoughts quarantinelife untilltomorrow lockdown coronavirusindia covid19pandemic sundaythoughts quarantinelife untilltomorrow lockdown coronavirusindia covid19,mumbai,1,MIXED
whole nation lockdown,hyderabad,0,NEUTRAL
without medical treatment cancer cured taking initiation saint rampal ji maharaj trueworship curesdiseasestrueworship curesdiseases,delhi,2,NEUTRAL
writing social media mental illness doesnt help need show real love,mumbai,1,POSITIVE
yes good job think bsy best given complexity bangalore,kolkata,1,POSITIVE
“ ’ funds pay monthly rent even food even 25 years age dependent parents ’ pension ” doctor said still working covid19 wards 200 doctors davanagere indefinite protestcovid19,bangalore,2,NEGATIVE
3949 new cases coronavirus reported tamilnadu today chennai reports 2000 cases first time 2167 cases city today 30005 persons tested 2212 patients discharged 62 new covid19 deaths total tally 86 224 cases 47 749 discharged 1141 deathscoronavirus tamilnadu chennai covid19,chennai,1,NEUTRAL
actor excellence whose eyes spoke never required good face eye n expression acting great fan great loss indian cinema may soul rest peace,kolkata,1,POSITIVE
aimim national aurangabad mp imtiaz jaleel meeting divisional commissioner office discuss corona cases district asadowaisi imtiaz jaleel,hyderabad,1,NEUTRAL
aliexpress us 19 59 51 phmax 2020 ski goggles ski mask men women snowboard goggles glasses skiing uv400 protection anti fog snow skiing glasses https aliexpress com sqp557aliexpress,kolkata,0,NEUTRAL
amazing madam good reach public follow strictly madams advice conquer corona successfully folded hands folded hands folded hands,chennai,2,POSITIVE
anti fogging medical face shield cover anti droplet dust carona covid virus according medical standrad high quality height 29 50 cm lenght 29 cm header band thickness 2 5 cm microns 325 material poly… https www instagram com p cbbw7xkfgpc igshid 1nyujk6poe3v0,kolkata,1,NEUTRAL
arvindkejriwal modi tell u sunday curfew telecast u hv 2feed lacs daily wagers tell yr lg hm expect u2arrange saketgokhale sachinpilot sabanaqvi virsanghvi ranaayyub mkvenu1 derekobrienmp bdutt,chennai,1,NEUTRAL
bad companies destroyed crisis good companies survive great companies improved good morning yarn monday magic careful information consume content diet important nutrition weareinthistogether health 911wellmonday weareinthistogether health,mumbai,1,NEGATIVE
beliebers directioners war everywhere viral corona,delhi,1,NEUTRAL
bengal ’ highest single day covid19 spike 624 new cases 14 deaths kolkata reports 180 fresh cases followed north 24 parganas howrah businessline shobharoycovid19,kolkata,1,NEUTRAL
best tribute untimely loss brilliant actor sushantsinghrajput ripssr sushantsinghrajpoot tributesushantsinghrajput ripssr sushantsinghrajpoot tribute,kolkata,1,POSITIVE
bollywood suicideawareness sushantsinghrajputrip plese dontkillyourselfdofightyourself may loss fight solution sucide jindegi haar time dimaak ke sath fight kijiye wait fight ’ take one suicide folded hands sad relieved face sad relieved face folded handsbollywood suicideawareness sushantsinghrajputrip dontkillyourselfdofightyourself sucide suicide,bangalore,1,NEGATIVE
breakingnews bigbreaking gurgaon faridabad may see lockdown covid cases rise punjab minister 8 doctors test coronavirus dc gurugram amitkhatriias dc faridabad yashpalmurar gurugramcoronabulletin haryana covid19 covidwarriorsbreakingnews bigbreaking gurgaon faridabad lockdown covid punjab doctors coronavirus gurugramcoronabulletin haryana covid19 covidwarriors,delhi,2,NEUTRAL
bro social discrimination really sucks mind,chennai,1,NEGATIVE
clouds cloud selector 2019bc corona timeisflying hyderabad high tech city https www instagram com p caxr8 glzjzvvnrfsmjiywqcgi4xnlrxakj9oe0 igshid 1ji3rd0tyriakclouds 2019bc timeisflying,hyderabad,1,NEUTRAL
cmoguj amitshah supportsunitayadav duty honesty curfew period one mla gujrat abused reason caught son using mla car without mast curfew time please justicesupportsunitayadav,delhi,2,NEGATIVE
concerned rapid increase covid19 cases state ind support govt containing impact relockdown solution disrupt mfg operations deter migrant workers return ind would fail meeting domestic export commitments bad economy,bangalore,2,NEUTRAL
congress leaders r main reason spread coronavirus india r irresponsible leaders weather regarding public health national security politics lack social awareness congress party shameful actcongress,hyderabad,1,MIXED
corona testa india tested 7000 patients till date china test 1 5 million per week korea also tested millions prevent corona virus fact covered channels ill prepared,mumbai,0,NEUTRAL
corona virus confirms impact food cycles happen think,bangalore,0,NEUTRAL
coronavirus positive doctor arrested rajasthans jhalawar cases rose 200 within two days doctor identified ibrahim kept treating patients clinic even tested positive,kolkata,1,NEUTRAL
coronavirus trump says u terminating relationship hindu coronavirus covidcoronavirus covid,delhi,1,NEUTRAL
dear friends get ready surprise week dont worry lockdown chill mondaytofriday 30 03 2020 03 04 2020 7 00 pm ist satyanutsav fblive stayhome relax… https www instagram com p b vi2svdlgo igshid 9pa9mbifxbnasurprise week lockdown mondaytofriday satyanutsav fblive stayhome stayhome,chennai,1,NEUTRAL
develop virus develop vaccine release virus place maximum global migrants keep silent till reaches destination control local transmission area let world burn economies collapse tell vaccine chinabioterrorismchinabioterrorism,bangalore,1,NEUTRAL
differ surya family members urban naxals covered fake agaram foundation mask working hindus sentiments name rationalists entire family frauds,chennai,2,NEGATIVE
drbeen medical sir wonder authenticate argument dry fasting like ramadan acts like natural immunomodulator defense mechanism viral infections especially covid19 perhaps also beneficial ppl comorbidities – trimulgherry,hyderabad,1,NEUTRAL
everything closed come religious places still open god everywhere including house pray remember corona everywhere,bangalore,1,NEUTRAL
far prediction mysterious virus grossly failed seems one except almighty clue every one simply beating bush,kolkata,1,MIXED
feel insensitive show grieving family video news channels intimated family members death left alone allowing adjust major loss instead answering questions media feeling,bangalore,0,NEGATIVE
gathering people picnic unhygienic roadside eataries vegetable liquor shops crowding coronaviruscoronavirus,hyderabad,1,NEUTRAL
goa model today 8 new case goa corona goa covid 19 icmrdelhi bjpgoa covid 19 bjp,mumbai,1,NEUTRAL
goat taken police station wandering aimlessly annd wearing mask grinning face sweat face tears joy grinning face smiling eyes,chennai,2,NEGATIVE
good see collr karaikal active twitter thanks updating informations social media,chennai,2,POSITIVE
great job,hyderabad,1,POSITIVE
happening modi regime profit making companies loss loss making bankrupt compines profit getting new contracts,bangalore,0,NEGATIVE
happiest bday perfect social activist seen ever hardworking annahazare hundred points sir 82 hope u live long bring benefits usannahazare,hyderabad,1,POSITIVE
happy ur trial good country anti social,delhi,0,NEGATIVE
happy ’ american coronavirus publichealthcoronavirus publichealth,chennai,1,POSITIVE
india collapsing external debt india 500billion dollars vodafone loss ₹50 000 crore airtel loss ₹23 000 crore bsnl loss ₹14 000 crore mtnl loss ₹755 crore bpcl loss ₹750 crore 1 anilsinghvi zeenews cnbc sebi india,kolkata,0,NEUTRAL
initially yes later pandaemic spread states equally state govts role play handling virus,hyderabad,2,NEGATIVE
insanity must stop black small square selector black small square selector black small square selector black small square selector black small square selector black small square selector black small square selector black small square selector black small square selector black small square selector black small square selector hospitals begin sending coronavirus related information directly department health human services hhs centers… https www instagram com p cco2hi3nhtm2rvmls04pxdiqrayw9fmrl9l84c0 igshid vk6vvwk27ps8,mumbai,2,NEUTRAL
jet kill corona,chennai,2,NEUTRAL
job lets,mumbai,1,NEUTRAL
jyotish event friday career curve https facebook com events episode 5 decoding career 986158588482239 ti cl astronomy astrologymemes covod19 pandemic2020 economy job jobsearch pinkslip hiring joblossastronomy astrologymemes covod19 pandemic2020 economy job jobsearch pinkslip hiring jobloss,bangalore,1,NEUTRAL
last 10 days ramadan energy focused praying self parents family world everyone deserves peaceful life tyrant migrant everyone deserves almightys mercy blessings may peace upon us ameen,bangalore,1,POSITIVE
lockdown news channels month best remedy shut cheapness media,delhi,1,NEGATIVE
look look look get meet smiling face heart eyes wonderful centered earth person mr tajinderbagga smiling face heart eyes smiling face heart eyes mla candidate social worker importantly aolite smiling face heart eyes fanmoment – art living international centerfanmoment,bangalore,0,POSITIVE
lost one actors pride industry country feels like personal loss never forgotten irfankhan may rest peace till eternity rip bouquet bouquetirfankhan,delhi,1,NEGATIVE
made prince charles james bond go namaste oldhandhyd muglikar shefvaidya vishkanyaaaa health z wealth sudhanshutrived satyanewshi tajinderbagga tejasvi surya shrutiahuja110,mumbai,0,NEUTRAL
mamata banerjee true failure health welfare minister west bengal made total massacre organizing every govt hospital pandemic bunch idiots 7 careless case death answer,kolkata,2,NEGATIVE
mamataofficial madam pls impose complete lockdown entire state limited containmentzones help govt amp citizens identify area people affected coronavirus otherwise difficult manage pandemicslockdown containmentzones affected coronavirus pandemics,kolkata,2,NEUTRAL
mask made smiling face smiling eyes smarthasaha lockdown lockdown2020 covid19 mask sodepur north 24 pgns west bengal https www instagram com p cdo2cxvdz5k igshid tkyy25ht2eaymask smarthasaha lockdown lockdown2020 covid19 mask,kolkata,2,NEUTRAL
massive landslide hits passingdang upper dzongu north sikkim triggered heavy rains loss life reported massive damage property amp houses caused due landslide met office predicted rains region,kolkata,1,NEUTRAL
moment loss loss country ’ territorial integrity surrendered give inch amp china demand mile question nation ’ pride,delhi,2,NEGATIVE
movie theaters closed sporting events canceled ott turns saviour covid19 pandemic ☛ letsott,chennai,0,NEUTRAL
must first line defence corona,kolkata,0,NEUTRAL
oh ok mean say govt ssb jobs,bangalore,0,NEGATIVE
oh okay hows lockdown treating,chennai,1,NEUTRAL
pmoindia drrpnishank nsitharaman establish world class universities educational institutions clean roads robust public transport systems cleanair hospitals ethical standards quality services attract tourists rqrd budget2020 5trillion economycleanair budget2020 5trillion,hyderabad,0,NEUTRAL
pmoindia finminindia mohfw india wished test every individual country robot initial test identify ppl infected covid19 must think using robots must use barren land convert 2 hospital,mumbai,1,NEUTRAL
police kaar police kaar one small request beat right left mercy seeing treatment one come street caa protest future govt know good bad pseudointellectuals politicians always stay inside safely,chennai,0,NEGATIVE
prakashjavdekar sir going wrong path let local mlas work ground level otherwise loose one another state disapearance congress reason bjps loss http toi 99jicz a24gj via timesofindia,delhi,0,NEGATIVE
qualified people millions scared covid19 bcz many roaming without mask sanitizer baba ramdev ji brought relief unfortunately undesirable things happened shall mean agency people enmass system icmr needs testing,bangalore,1,NEGATIVE
rahul ji nation understand everything congress others get best treatment soon citizen need support remarks forget politicsand come party cocoons destroying national calamity carona 19,kolkata,1,NEGATIVE
raising kids easy job best way raise positive kids negative world positive parents love unconditionally serve excellent role models,bangalore,1,POSITIVE
realized true strength globalisation guy gal eaten crap meat wuhan china got corona virus going affecting living suburb chennai business feel like screwed month,chennai,0,NEUTRAL
really necessary shoots wait till year end migrant workers daily wage labourers need work badly midst pandemic incase aware unlock dosent mean virus gone time spread,chennai,2,NEGATIVE
